,categoryName,createdOn,id,name,price,location.locationDescription,location.locationLatitude,location.locationLongitude
1744,For Sale - House,2024-08-04T08:07:13,BD2BE75E-C86F-841D-9384-8A3920F11E60,"Brand New House For Sale at Manamaiju, Phutung",30000000,"लोकतान्त्रिक चोक, Tarakeshwar-09, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.750259,85.310661
1745,For Sale - House,2024-08-04T08:01:55,15C20387-CA21-4EEA-26AF-33807802DCBE,Semi Commercial House On Sale at Manamaiju,37500000,"27DR023, Tarakeshwar-02, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.786699,85.303299
1746,For Sale - House,2024-08-04T07:57:41,93BB35F5-07AD-0414-A12D-C683EC865D97,House sale,37500000,"Alliant Insurance Brokrers, 303, थापाथली सडक, थापाथली, Kathmandu-11, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 00779, नेपाल",0.0,0.0
1747,For Sale - House,2024-08-04T07:56:41,D801EC44-FE6E-A4E1-8064-85C6A2155C7C,Semi Commercial House On Sale at Manamaiju,32500000,"लोकतान्त्रिक चोक, Tarakeshwar-10, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.749001,85.310997
1748,For Sale - House,2024-08-04T07:49:43,14EC1352-D09E-5772-1FAF-0F414E15F6D1,"House For Sale at Manamaiju, Phutung",28000000,"F80, Tarakeshwar-07, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.768,85.312302
1749,For Sale - House,2024-08-04T07:43:23,4E6BD198-1813-85A9-51AA-EFB381082EA8,"House For Sale at Tarkeshwar, Phutung",65000000,"F80, Tarakeshwar-07, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.768,85.312302
1750,For Sale - House,2024-08-04T08:20:04,43620012-6224-B3AF-1B20-4AB2DAB03D33,"Brand New House For Sale at Nakhipot, Lalitpur",35000000,"Gyan Bigyan Secondary Boarding School, Nakhipot Marg, विशाल चोक, नख्खुडोल, Lalitpur-14, ललितपुर, ललितपुर महानगरपालिका, ललितपुर, बाग्मती प्रदेश, 44702, नेपाल",27.651501,85.3172
1751,For Sale - House,2024-08-04T08:17:13,16253411-E9B0-8750-15FE-9382BEBBB0F8,House on sale thankot kathmandu,21000000,"थानकोट, Chandragiri-04, Chandragiri, चन्द्रागिरी नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44619, नेपाल",27.690599,85.217308
1752,For Sale - House,2024-08-04T08:10:16,298DE0BC-02A4-4599-60EC-C01D40257C18,"Bhaisepati house on sale , 3 storey building, 3 cr",30000000,"भैसेपाटी, Lalitpur-25, ललितपुर, ललितपुर महानगरपालिका, ललितपुर, बाग्मती प्रदेश, 13775, नेपाल",27.652941,85.308311
1753,For Sale - House,2024-08-04T08:07:13,BD2BE75E-C86F-841D-9384-8A3920F11E60,"Brand New House For Sale at Manamaiju, Phutung",30000000,"लोकतान्त्रिक चोक, Tarakeshwar-09, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.750259,85.310661
1754,For Sale - House,2024-08-04T08:01:55,15C20387-CA21-4EEA-26AF-33807802DCBE,Semi Commercial House On Sale at Manamaiju,37500000,"27DR023, Tarakeshwar-02, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.786699,85.303299
1755,For Sale - House,2024-08-04T07:57:41,93BB35F5-07AD-0414-A12D-C683EC865D97,House sale,37500000,"Alliant Insurance Brokrers, 303, थापाथली सडक, थापाथली, Kathmandu-11, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 00779, नेपाल",0.0,0.0
1756,For Sale - House,2024-08-04T07:56:41,D801EC44-FE6E-A4E1-8064-85C6A2155C7C,Semi Commercial House On Sale at Manamaiju,32500000,"लोकतान्त्रिक चोक, Tarakeshwar-10, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.749001,85.310997
1757,For Sale - House,2024-08-04T07:49:43,14EC1352-D09E-5772-1FAF-0F414E15F6D1,"House For Sale at Manamaiju, Phutung",28000000,"F80, Tarakeshwar-07, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.768,85.312302
1758,For Sale - House,2024-08-04T07:43:23,4E6BD198-1813-85A9-51AA-EFB381082EA8,"House For Sale at Tarkeshwar, Phutung",65000000,"F80, Tarakeshwar-07, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.768,85.312302
1759,For Sale - House,2024-08-04T07:20:40,E8000EC6-D4D2-3DE5-58FB-03937A2311A2,House on Sale ,22500000,"kopan, Kapan, Kathmandu",27.736,85.3601
