,categoryName,createdOn,id,name,price,location.locationDescription,location.locationLatitude,location.locationLongitude
1857,For Sale - House,2024-08-04T06:58:57,4D2087C2-1059-F7B5-52ED-BEA341E485D1,Semi Commercial House For Sale at Bhangal,35000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1858,For Sale - House,2024-08-04T06:57:25,EC4C5298-8020-D7CE-E99C-7412E861BC08,"Brand New House On Sale at Bhangal, Budhanilkantha",26000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1859,For Sale - House,2024-08-04T06:54:49,0B9A8BD8-E2E0-2671-AD78-BB026FDA1393,"New House For Sale at Bhangal, Sundarbasti",33500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1860,For Sale - House,2024-08-04T07:11:43,9867978A-99C1-C6B1-96A2-739D228D20A4,Brand New Semi Bunglow House On Sale at Bhangal,30000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1861,For Sale - House,2024-08-04T07:09:40,9148598E-D3F5-0E48-513B-3DA96DBC3287,"Brand New House On Sale at Bhangal, Budhanilkantha",19000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1862,For Sale - House,2024-08-04T07:07:07,95AB7382-F41A-88AB-CC56-2DFFE41D1E15,Brand New Semi Bunglow House For Sale at Bhangal,57500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1863,For Sale - House,2024-08-04T07:05:33,919275FC-BAED-DE4A-CA83-A0D2049DC034,Semi Bunglow House For Sale at Bhangal,27000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.762423,85.35759
1864,For Sale - House,2024-08-04T07:03:26,00DD4E0E-8BE2-8666-ACC1-D24E48101A11,"House For Sale at Bhangal, Budhanilkantha",33000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1865,For Sale - House,2024-08-04T07:01:21,0D457691-C98C-B960-6CEC-8D5F6A1A598C,"Semi Bunglow House For Sale at Bhangal, Kamitar",36000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1866,For Sale - House,2024-08-04T06:58:57,4D2087C2-1059-F7B5-52ED-BEA341E485D1,Semi Commercial House For Sale at Bhangal,35000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1867,For Sale - House,2024-08-04T06:57:25,EC4C5298-8020-D7CE-E99C-7412E861BC08,"Brand New House On Sale at Bhangal, Budhanilkantha",26000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1868,For Sale - House,2024-08-04T06:54:49,0B9A8BD8-E2E0-2671-AD78-BB026FDA1393,"New House For Sale at Bhangal, Sundarbasti",33500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1869,For Sale - House,2024-08-04T06:51:48,2B1C956F-53F5-3E4E-08F7-0B33CE6E0D24,"Brand New House On Sale at Bhangal, Budhanilkantha",32000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1870,For Sale - House,2024-08-04T07:09:40,9148598E-D3F5-0E48-513B-3DA96DBC3287,"Brand New House On Sale at Bhangal, Budhanilkantha",19000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1871,For Sale - House,2024-08-04T07:07:07,95AB7382-F41A-88AB-CC56-2DFFE41D1E15,Brand New Semi Bunglow House For Sale at Bhangal,57500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1872,For Sale - House,2024-08-04T07:05:33,919275FC-BAED-DE4A-CA83-A0D2049DC034,Semi Bunglow House For Sale at Bhangal,27000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.762423,85.35759
1873,For Sale - House,2024-08-04T07:03:26,00DD4E0E-8BE2-8666-ACC1-D24E48101A11,"House For Sale at Bhangal, Budhanilkantha",33000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
